Training 30 epochs complete.

    train_cost  train_acc  test_cost  test_acc
0     0.770709   0.666667   0.788936  0.666667
1     0.550256   0.666667   0.553437  0.666667
2     0.513816   0.666667   0.508307  0.666667
3     0.487540   0.666667   0.474151  0.666667
4     0.476624   0.666667   0.457027  0.666667
5     1.848895   0.619048   1.688083  0.577778
6     1.966663   0.628571   1.771517  0.577778
7     1.890529   0.628571   1.680897  0.577778
8     1.859975   0.628571   1.637018  0.577778
9     1.793077   0.628571   1.558632  0.600000
10    1.800117   0.628571   1.552908  0.600000
11    1.769090   0.638095   1.510551  0.600000
12    1.727498   0.638095   1.458063  0.622222
13    1.684068   0.647619   1.403940  0.644444
14    1.641500   0.647619   1.350476  0.644444
15    1.589977   0.647619   1.289223  0.644444
16    1.534102   0.647619   1.224337  0.644444
17    1.475735   0.647619   1.157655  0.666667
18    1.417942   0.647619   1.092079  0.666667
19    1.362554   0.657143   1.029060  0.666667
20    1.302679   0.657143   0.963165  0.688889
21    1.240413   0.657143   0.896391  0.688889
22    1.180865   0.666667   0.832946  0.688889
23    1.121219   0.676190   0.770819  0.711111
24    1.063532   0.676190   0.711578  0.711111
25    1.008735   0.676190   0.655954  0.711111
26    0.957403   0.676190   0.604381  0.711111
27    0.909871   0.685714   0.557076  0.711111
28    0.866229   0.704762   0.514047  0.733333
29    0.826320   0.714286   0.475095  0.733333
