!!!ERROR: Tanh cannot be used for output layer.  Changing to Sigmoid..

Training 30 epochs complete.

    train_cost  train_acc  test_cost  test_acc
0     0.386007   0.333333   0.385998  0.333333
1     0.364923   0.333333   0.364921  0.333333
2     0.352133   0.333333   0.352132  0.333333
3     0.344731   0.333333   0.344729  0.333333
4     0.340487   0.333333   0.340482  0.333333
5     0.338033   0.333333   0.338025  0.333333
6     0.336591   0.333333   0.336581  0.333333
7     0.335728   0.333333   0.335715  0.333333
8     0.335199   0.333333   0.335182  0.333333
9     0.334861   0.333333   0.334841  0.333333
10    0.334628   0.333333   0.334606  0.333333
11    0.334448   0.333333   0.334422  0.333333
12    0.334279   0.333333   0.334250  0.333333
13    0.334088   0.333333   0.334055  0.333333
14    0.333831   0.333333   0.333796  0.333333
15    0.333433   0.333333   0.333399  0.333333
16    0.332730   0.333333   0.332709  0.333333
17    0.331267   0.333333   0.331297  0.333333
18    0.327539   0.333333   0.327798  0.333333
19    0.317786   0.333333   0.318806  0.333333
20    0.302586   0.333333   0.304059  0.333333
21    0.286986   0.628571   0.288240  0.600000
22    0.272845   0.666667   0.273801  0.666667
23    0.260576   0.666667   0.261308  0.666667
24    0.250081   0.666667   0.250655  0.666667
25    0.241144   0.666667   0.241607  0.666667
26    0.233539   0.666667   0.233922  0.666667
27    0.227058   0.666667   0.227381  0.666667
28    0.221519   0.666667   0.221797  0.666667
29    0.216766   0.666667   0.217011  0.666667
