Training 30 epochs complete.

    train_cost  train_acc  test_cost  test_acc
0     2.069454   0.333333   2.163083  0.333333
1     2.007900   0.333333   2.096655  0.333333
2     1.989590   0.333333   2.075092  0.333333
3     1.981230   0.333333   2.064166  0.333333
4     1.973148   0.333333   2.053927  0.333333
5     1.957314   0.333333   2.036506  0.333333
6     1.913040   0.333333   1.991925  0.333333
7     1.835354   0.333333   1.914126  0.355556
8     1.767143   0.666667   1.846708  0.666667
9     1.715778   0.666667   1.798094  0.666667
10    1.672832   0.666667   1.759010  0.666667
11    1.634748   0.666667   1.725270  0.666667
12    1.600481   0.666667   1.695607  0.666667
13    1.569418   0.666667   1.669310  0.666667
14    1.540991   0.666667   1.645743  0.666667
15    1.514496   0.666667   1.624163  0.666667
16    1.488844   0.666667   1.603485  0.666667
17    1.462249   0.666667   1.582045  0.666667
18    1.433386   0.666667   1.558787  0.666667
19    1.405719   0.666667   1.537167  0.666667
20    1.383231   0.666667   1.520634  0.666667
21    1.364859   0.666667   1.507832  0.666667
22    1.349118   0.666667   1.497316  0.666667
23    1.335337   0.666667   1.488475  0.666667
24    1.323188   0.666667   1.481007  0.666667
25    1.312455   0.666667   1.474707  0.666667
26    1.302964   0.666667   1.469407  0.666667
27    1.294560   0.666667   1.464962  0.666667
28    1.287109   0.666667   1.461245  0.666667
29    1.280488   0.666667   1.458143  0.666667
